n_qubits,input_qubits,reupload_rounds,virtual_nodes,dt,J,h,K,val_band_auprc,seconds
4,3,3,2,0.25,0.5,0.1,6,0.20848187646542732,80.28
4,3,3,3,1.0,3.0,0.8,6,0.20478317441243754,90.48
6,4,2,4,0.5,0.5,1.2,8,0.20428532712160372,243.0
6,4,2,3,1.0,1.0,0.3,4,0.20262649417886036,151.22
6,4,3,4,1.0,0.5,0.1,8,0.20062549901067536,321.81
6,4,2,2,0.4,1.0,1.2,4,0.2005123577360003,135.74
4,2,4,3,0.25,0.5,0.3,8,0.19843217294583937,102.4
4,3,3,2,0.5,1.5,1.2,6,0.19466441474784943,81.2
6,3,3,4,0.75,2.0,0.1,6,0.1940695410231455,316.41
6,3,3,2,0.4,0.5,0.1,3,0.1940397555926771,147.93
5,3,4,4,0.4,1.5,0.1,3,0.19396569261899627,127.08
5,2,4,4,0.4,0.5,0.1,6,0.19349818142100497,157.09
6,2,4,4,0.25,1.0,1.2,5,0.19239838503398057,348.71
5,4,3,3,1.5,3.0,1.2,4,0.19230621025574707,116.5
5,4,4,4,1.5,3.0,0.1,3,0.1917019483290568,143.72
6,2,4,2,0.75,1.5,1.2,4,0.18980220264926992,172.85
6,4,3,3,0.5,1.5,0.3,6,0.18957313249288868,281.82
6,3,3,2,0.75,1.0,0.5,3,0.1894205107759567,148.51
5,4,3,4,1.0,2.0,0.3,8,0.1893616966279308,173.96
6,3,3,4,1.0,2.0,0.5,5,0.18912325617930567,291.24
6,4,4,2,1.0,0.5,0.5,5,0.18819761156568243,250.14
3,2,4,4,0.4,0.5,1.2,3,0.1880703388788716,62.43
6,3,3,4,0.75,3.0,0.1,5,0.18801303871651437,292.98
5,2,4,4,0.4,2.0,0.3,8,0.1874574145882365,174.15
3,2,4,2,1.5,3.0,0.3,5,0.1870024336374123,66.96
6,2,4,4,1.5,1.0,0.1,5,0.18608790375807463,293.0
5,3,3,3,1.0,1.0,0.3,8,0.18576702475752482,137.53
5,4,4,3,0.5,1.5,1.2,3,0.1853545090265823,127.3
4,3,4,2,1.5,1.5,0.3,6,0.18532513110031787,100.02
6,2,4,3,1.5,1.5,0.8,8,0.18457118210389956,344.28
5,3,3,2,1.5,2.0,0.1,8,0.18394268639261435,117.37
6,2,4,3,1.5,1.5,1.2,8,0.18322654882239192,344.25
6,4,4,2,1.0,3.0,0.1,4,0.18142888220384157,207.29
5,4,4,4,1.5,0.5,0.1,3,0.18105341487815813,143.26
3,2,4,4,0.4,0.5,0.5,8,0.18101888063857685,94.64
3,2,4,4,0.5,3.0,1.2,3,0.18098979477584695,61.85
3,2,4,2,0.25,2.0,0.3,5,0.18079442979056756,66.24
3,2,4,4,0.75,1.0,0.3,5,0.18033278911403142,78.95
6,3,4,2,0.75,2.0,0.3,5,0.17991149318809393,247.66
6,3,4,3,1.0,1.0,0.5,4,0.17870318053363834,234.08
